"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex"
"Gentoo","Biscoe",42.9,13.1,215,"1","female"
"Gentoo","Biscoe",46.1,15.1,215,"1","male"
"Gentoo","Biscoe",47.8,15,215,"1","male"
"Gentoo","Biscoe",48.2,14.3,210,"1","female"
"Gentoo","Biscoe",50,15.3,220,"1","male"
"Gentoo","Biscoe",47.3,15.3,222,"1","male"
"Gentoo","Biscoe",42.8,14.2,209,"1","female"
"Gentoo","Biscoe",45.1,14.5,207,"1","female"
"Gentoo","Biscoe",59.6,17,230,"1","male"
"Gentoo","Biscoe",49.1,14.8,220,"1","female"
"Gentoo","Biscoe",48.4,16.3,220,"1","male"
"Gentoo","Biscoe",42.6,13.7,213,"1","female"
"Gentoo","Biscoe",44.4,17.3,219,"1","male"
"Gentoo","Biscoe",44,13.6,208,"1","female"
"Gentoo","Biscoe",48.7,15.7,208,"1","male"
"Gentoo","Biscoe",42.7,13.7,208,"0","female"
"Gentoo","Biscoe",49.6,16,225,"1","male"
"Gentoo","Biscoe",45.3,13.7,210,"1","female"
"Gentoo","Biscoe",49.6,15,216,"1","male"
"Gentoo","Biscoe",50.5,15.9,222,"1","male"
"Gentoo","Biscoe",43.6,13.9,217,"1","female"
"Gentoo","Biscoe",45.5,13.9,210,"1","female"
"Gentoo","Biscoe",50.5,15.9,225,"1","male"
"Gentoo","Biscoe",44.9,13.3,213,"1","female"
"Gentoo","Biscoe",45.2,15.8,215,"1","male"
"Gentoo","Biscoe",46.6,14.2,210,"1","female"
"Gentoo","Biscoe",48.5,14.1,220,"1","male"
"Gentoo","Biscoe",45.1,14.4,210,"1","female"
"Gentoo","Biscoe",50.1,15,225,"1","male"
"Gentoo","Biscoe",46.5,14.4,217,"1","female"
"Gentoo","Biscoe",45,15.4,220,"1","male"
"Gentoo","Biscoe",43.8,13.9,208,"1","female"
"Gentoo","Biscoe",45.5,15,220,"1","male"
"Gentoo","Biscoe",43.2,14.5,208,"1","female"
"Gentoo","Biscoe",50.4,15.3,224,"1","male"
"Gentoo","Biscoe",45.3,13.8,208,"1","female"
"Gentoo","Biscoe",46.2,14.9,221,"1","male"
"Gentoo","Biscoe",45.7,13.9,214,"1","female"
"Gentoo","Biscoe",54.3,15.7,231,"1","male"
"Gentoo","Biscoe",45.8,14.2,219,"1","female"
"Gentoo","Biscoe",49.8,16.8,230,"1","male"
"Gentoo","Biscoe",49.5,16.2,229,"1","male"
"Gentoo","Biscoe",43.5,14.2,220,"1","female"
"Gentoo","Biscoe",50.7,15,223,"1","male"
"Gentoo","Biscoe",47.7,15,216,"1","female"
"Gentoo","Biscoe",46.4,15.6,221,"1","male"
"Gentoo","Biscoe",48.2,15.6,221,"1","male"
"Gentoo","Biscoe",46.5,14.8,217,"1","female"
"Gentoo","Biscoe",46.4,15,216,"1","female"
"Gentoo","Biscoe",48.6,16,230,"1","male"
"Gentoo","Biscoe",47.5,14.2,209,"1","female"
"Gentoo","Biscoe",51.1,16.3,220,"1","male"
"Gentoo","Biscoe",45.2,13.8,215,"1","female"
"Gentoo","Biscoe",45.2,16.4,223,"1","male"
"Gentoo","Biscoe",49.1,14.5,212,"1","female"
"Gentoo","Biscoe",52.5,15.6,221,"1","male"
"Gentoo","Biscoe",47.4,14.6,212,"1","female"
"Gentoo","Biscoe",50,15.9,224,"1","male"
"Gentoo","Biscoe",44.9,13.8,212,"1","female"
"Gentoo","Biscoe",50.8,17.3,228,"1","male"
"Gentoo","Biscoe",43.4,14.4,218,"1","female"
"Gentoo","Biscoe",51.3,14.2,218,"1","male"
"Gentoo","Biscoe",47.5,14,212,"1","female"
"Gentoo","Biscoe",52.1,17,230,"1","male"
"Gentoo","Biscoe",47.5,15,218,"1","female"
"Gentoo","Biscoe",52.2,17.1,228,"1","male"
"Gentoo","Biscoe",45.5,14.5,212,"1","female"
"Gentoo","Biscoe",49.5,16.1,224,"1","male"
"Gentoo","Biscoe",44.5,14.7,214,"1","female"
"Gentoo","Biscoe",50.8,15.7,226,"1","male"
"Gentoo","Biscoe",49.4,15.8,216,"1","male"
"Gentoo","Biscoe",46.9,14.6,222,"1","female"
"Gentoo","Biscoe",48.4,14.4,203,"1","female"
"Gentoo","Biscoe",51.1,16.5,225,"1","male"
"Gentoo","Biscoe",48.5,15,219,"1","female"
"Gentoo","Biscoe",55.9,17,228,"1","male"
"Gentoo","Biscoe",47.2,15.5,215,"1","female"
"Gentoo","Biscoe",49.1,15,228,"1","male"
"Gentoo","Biscoe",46.8,16.1,215,"1","male"
"Gentoo","Biscoe",41.7,14.7,210,"1","female"
"Gentoo","Biscoe",53.4,15.8,219,"1","male"
"Gentoo","Biscoe",43.3,14,208,"1","female"
"Gentoo","Biscoe",48.1,15.1,209,"1","male"
"Gentoo","Biscoe",50.5,15.2,216,"1","female"
"Gentoo","Biscoe",49.8,15.9,229,"1","male"
"Gentoo","Biscoe",43.5,15.2,213,"1","female"
"Gentoo","Biscoe",51.5,16.3,230,"1","male"
"Gentoo","Biscoe",46.2,14.1,217,"1","female"
"Gentoo","Biscoe",55.1,16,230,"1","male"
"Gentoo","Biscoe",48.8,16.2,222,"1","male"
"Gentoo","Biscoe",47.2,13.7,214,"1","female"
"Gentoo","Biscoe",46.8,14.3,215,"1","female"
"Gentoo","Biscoe",50.4,15.7,222,"1","male"
"Gentoo","Biscoe",45.2,14.8,212,"1","female"
"Gentoo","Biscoe",49.9,16.1,213,"1","male"
"Chinstrap","Dream",46.5,17.9,192,"0","female"
"Chinstrap","Dream",50,19.5,196,"0","male"
"Chinstrap","Dream",51.3,19.2,193,"0","male"
"Chinstrap","Dream",45.4,18.7,188,"0","female"
"Chinstrap","Dream",52.7,19.8,197,"0","male"
"Chinstrap","Dream",45.2,17.8,198,"0","female"
"Chinstrap","Dream",46.1,18.2,178,"0","female"
"Chinstrap","Dream",51.3,18.2,197,"0","male"
"Chinstrap","Dream",46,18.9,195,"1","female"
"Chinstrap","Dream",51.3,19.9,198,"0","male"
"Chinstrap","Dream",46.6,17.8,193,"0","female"
"Chinstrap","Dream",51.7,20.3,194,"0","male"
"Chinstrap","Dream",47,17.3,185,"0","female"
"Chinstrap","Dream",52,18.1,201,"0","male"
"Chinstrap","Dream",45.9,17.1,190,"0","female"
"Chinstrap","Dream",50.5,19.6,201,"0","male"
"Chinstrap","Dream",50.3,20,197,"0","male"
"Chinstrap","Dream",58,17.8,181,"0","female"
"Chinstrap","Dream",46.4,18.6,190,"0","female"
"Chinstrap","Dream",49.2,18.2,195,"1","male"
"Chinstrap","Dream",42.4,17.3,181,"0","female"
"Chinstrap","Dream",48.5,17.5,191,"0","male"
"Chinstrap","Dream",43.2,16.6,187,"0","female"
"Chinstrap","Dream",50.6,19.4,193,"0","male"
"Chinstrap","Dream",46.7,17.9,195,"0","female"
"Chinstrap","Dream",52,19,197,"1","male"
"Chinstrap","Dream",50.5,18.4,200,"0","female"
"Chinstrap","Dream",49.5,19,200,"0","male"
"Chinstrap","Dream",46.4,17.8,191,"0","female"
"Chinstrap","Dream",52.8,20,205,"1","male"
"Chinstrap","Dream",40.9,16.6,187,"0","female"
"Chinstrap","Dream",54.2,20.8,201,"1","male"
"Chinstrap","Dream",42.5,16.7,187,"0","female"
"Chinstrap","Dream",51,18.8,203,"1","male"
"Chinstrap","Dream",49.7,18.6,195,"0","male"
"Chinstrap","Dream",47.5,16.8,199,"0","female"
"Chinstrap","Dream",47.6,18.3,195,"0","female"
"Chinstrap","Dream",52,20.7,210,"1","male"
"Chinstrap","Dream",53.5,19.9,205,"1","male"
"Chinstrap","Dream",49,19.5,210,"0","male"
"Chinstrap","Dream",46.2,17.5,187,"0","female"
"Chinstrap","Dream",50.9,19.1,196,"0","male"
"Chinstrap","Dream",45.5,17,196,"0","female"
"Chinstrap","Dream",50.9,17.9,196,"0","female"
"Chinstrap","Dream",50.8,18.5,201,"1","male"
"Chinstrap","Dream",50.1,17.9,190,"0","female"
"Chinstrap","Dream",49,19.6,212,"1","male"
"Chinstrap","Dream",51.5,18.7,187,"0","male"
"Chinstrap","Dream",49.8,17.3,198,"0","female"
"Chinstrap","Dream",48.1,16.4,199,"0","female"
"Chinstrap","Dream",51.4,19,201,"0","male"
"Chinstrap","Dream",45.7,17.3,193,"0","female"
"Chinstrap","Dream",50.7,19.7,203,"0","male"
"Chinstrap","Dream",42.5,17.3,187,"0","female"
"Chinstrap","Dream",52.2,18.8,197,"0","male"
"Chinstrap","Dream",45.2,16.6,191,"0","female"
"Chinstrap","Dream",49.3,19.9,203,"0","male"
"Chinstrap","Dream",50.2,18.8,202,"0","male"
"Chinstrap","Dream",45.6,19.4,194,"0","female"
"Chinstrap","Dream",51.9,19.5,206,"0","male"
"Chinstrap","Dream",46.8,16.5,189,"0","female"
"Chinstrap","Dream",45.7,17,195,"0","female"
"Chinstrap","Dream",55.8,19.8,207,"0","male"
"Chinstrap","Dream",43.5,18.1,202,"0","female"
"Chinstrap","Dream",49.6,18.2,193,"0","male"
"Chinstrap","Dream",50.8,19,210,"1","male"
"Chinstrap","Dream",50.2,18.7,198,"0","female"
